식품명,식품대분류명,영양성분함량기준량,에너지(kcal),탄수화물(g),단백질(g),지방(g),나트륨(mg),식품기원명
버섯구이표고버섯,구이류,100g,100,18.14,4.34,1.06,435,가정식(분석 함량)
삼겹살구이,구이류,100g,467,0.35,22.56,41.69,576,가정식(분석 함량)
삼겹살구이_고추장,구이류,100g,403,12.63,14.21,32.83,510,가정식(분석 함량)
삼치구이,구이류,100g,178,1.45,21.42,9.57,217,가정식(분석 함량)
새우구이,구이류,100g,145,2.82,23.41,4.44,330,가정식(분석 함량)
소불고기,구이류,100g,170,4.26,16.41,9.66,418,가정식(분석 함량)
스테이크_소등심,구이류,100g,194,0.14,30.22,8.07,134,가정식(분석 함량)
스테이크_소안심,구이류,100g,183,0.13,34.82,4.83,103,가정식(분석 함량)
오리고기구이,구이류,100g,293,4.89,24.06,19.70,708,가정식(분석 함량)
오리불고기,구이류,100g,145,9.05,6.75,9.05,467,가정식(분석 함량)
장어구이_고추장,구이류,100g,259,6.18,19.82,17.21,322,가정식(분석 함량)
조개구이_키조개,구이류,100g,130,10.44,17.43,2.07,454,가정식(분석 함량)
조기구이,구이류,100g,177,0.44,19.33,10.86,1364,가정식(분석 함량)
참치구이_머리,구이류,100g,193,1.40,26.56,8.98,459,가정식(분석 함량)
치킨데리야끼,구이류,100g,208,15.21,16.54,9.01,267,가정식(분석 함량)
함박스테이크,구이류,100g,174,7.19,12.10,10.73,198,가정식(분석 함량)
가지전,전·적 및 부침류,100g,123,8.88,5.48,7.28,337,가정식(분석 함량)
감자전,전·적 및 부침류,100g,133,16.79,1.72,6.54,293,가정식(분석 함량)
고구마전,전·적 및 부침류,100g,227,35.99,2.92,7.98,87,가정식(분석 함량)
김치전,전·적 및 부침류,100g,134,19.01,5.05,4.20,240,가정식(분석 함량)
달걀말이,전·적 및 부침류,100g,193,1.45,17.21,13.21,449,가정식(분석 함량)
달걀부침(달걀후라이),전·적 및 부침류,100g,208,5.15,15.73,13.78,161,가정식(분석 함량)
달걀부침(달걀후라이)_햄,전·적 및 부침류,100g,277,8.06,12.71,21.59,591,가정식(분석 함량)
두부부침,전·적 및 부침류,100g,140,2.07,10.92,9.77,429,가정식(분석 함량)
맛살전,전·적 및 부침류,100g,165,19.69,7.48,6.24,559,가정식(분석 함량)
메밀전,전·적 및 부침류,100g,161,34.79,4.02,0.64,145,가정식(분석 함량)
버섯전_표고버섯,전·적 및 부침류,100g,181,12.74,10.13,9.98,317,가정식(분석 함량)
부추전,전·적 및 부침류,100g,167,27.86,4.63,4.17,247,가정식(분석 함량)
산적_돼지고기,전·적 및 부침류,100g,200,1.55,29.06,8.56,586,가정식(분석 함량)
스크램블드에그,전·적 및 부침류,100g,216,2.56,11.81,17.59,369,가정식(분석 함량)
애호박전,전·적 및 부침류,100g,122,6.73,4.35,8.62,224,가정식(분석 함량)
완자전_돼지고기,전·적 및 부침류,100g,139,6.51,14.78,5.95,859,가정식(분석 함량)
완자전_소고기,전·적 및 부침류,100g,162,4.68,18.73,7.56,381,가정식(분석 함량)
완자전_참치,전·적 및 부침류,100g,173,13.57,15.00,6.49,567,가정식(분석 함량)
완자전_해물,전·적 및 부침류,100g,222,18.04,11.46,11.61,591,가정식(분석 함량)
채소전,전·적 및 부침류,100g,145,22.59,3.57,4.50,259,가정식(분석 함량)
파전_해물,전·적 및 부침류,100g,171,18.29,5.50,8.40,300,가정식(분석 함량)
감자볶음,볶음류,100g,100,12.41,1.75,4.84,318,가정식(분석 함량)
감자볶음_채소,볶음류,100g,108,13.10,2.04,5.22,208,가정식(분석 함량)
건새우볶음,볶음류,100g,304,5.40,41.55,12.95,1554,가정식(분석 함량)
곱창볶음_돼지고기,볶음류,100g,130,18.52,7.23,3.00,215,가정식(분석 함량)
김치볶음,볶음류,100g,106,7.27,1.38,7.94,521,가정식(분석 함량)
김치볶음_참치,볶음류,100g,122,7.12,8.33,6.68,480,가정식(분석 함량)
낙지볶음,볶음류,100g,91,8.60,5.77,3.77,537,가정식(분석 함량)
닭발볶음,볶음류,100g,186,11.72,13.80,9.38,974,가정식(분석 함량)
